,Id,Time,Sens-1,Sens-2,Sens-3,Sens-4,Sens-5,Sens-6,Sens-7,Sens-8,Temp,Co2
0,0.0,2.1e-05,12.8102,10.3665,10.4529,11.6742,13.4941,13.2749,8.30531,9.04553,26.4234,59.4725
1,0.0,0.000309,12.8097,10.3655,10.4523,11.6734,13.4934,13.274,8.30527,9.04545,26.4241,59.4745
2,0.0,0.000587,12.8088,10.3645,10.4516,11.6731,13.493,13.273,8.30523,9.04538,26.4246,59.4763
3,0.0,0.000865,12.808,10.3638,10.4508,11.6727,13.4922,13.2719,8.3052,9.04516,26.4251,59.4779
4,0.0,0.001144,12.8078,10.3628,10.4503,11.6722,13.4914,13.2708,8.30517,9.04511,26.4256,59.4793
5,0.0,0.001422,12.8076,10.3619,10.4498,11.6718,13.4908,13.2699,8.30514,9.04507,26.426,59.4807
6,0.0,0.002261,12.7617,10.2936,10.2345,11.4139,12.9603,13.0296,7.97357,8.74752,26.434,59.567
7,0.0,0.002632,12.7202,10.2314,10.0399,11.1805,12.4793,12.8121,7.67377,8.47841,26.4413,59.6452
8,0.0,0.00291,12.6826,10.1748,9.86404,10.9691,12.0433,12.6147,7.40252,8.23504,26.4478,59.7159
9,0.0,0.003188,12.6487,10.1243,9.70535,10.778,11.6487,12.4361,7.15682,8.01474,26.4537,59.7799
10,0.0,0.003466,12.6179,10.0786,9.56177,10.6052,11.291,12.275,6.9349,7.81553,26.4591,59.8172
11,0.0,0.003755,12.5901,10.0375,9.43172,10.4481,10.9669,12.1288,6.73373,7.63508,26.4639,59.851
12,0.0,0.004033,12.565,10.0002,9.31464,10.306,10.6732,11.9968,6.55191,7.47192,26.4683,59.8816
13,0.0,0.004311,12.5426,9.96632,9.20841,10.1768,10.4065,11.8767,6.38722,7.32418,26.4723,59.9092
14,0.0,0.004589,12.5222,9.93583,9.11289,10.0598,10.1649,11.7678,6.2384,7.19063,26.4759,59.9342
15,0.0,0.004867,12.5037,9.90825,9.02617,9.95396,9.94555,11.6693,6.10347,7.0698,26.4791,59.9569
16,0.0,0.005155,12.4872,9.8833,8.94814,9.85836,9.74696,11.5801,5.98168,6.96059,26.4821,59.9774
17,0.0,0.005433,12.4727,9.86072,8.8777,9.77172,9.56631,11.4995,5.87139,6.86166,26.4847,59.9871
18,0.0,0.005711,12.4596,9.8403,8.81483,9.69332,9.40272,11.4265,5.7717,6.77227,26.4871,59.9959
19,0.0,0.005989,12.448,9.82215,8.75795,9.62255,9.25416,11.3603,5.68141,6.69128,26.4893,60.0038
